pos_code,pos_description,pos_category
1,Pharmacy,O
2,Telehealth Provided Other than in Patient’s Home,O
3,School,O
4,Homeless Shelter,O
5,Indian Health Service Free-standing Facility,O
6,Indian Health Service Provider-based Facility,O
7,Tribal 638 Free-standing Facility,O
8,Tribal 638 Provider-based Facility,O
9,Prison/ Correctional Facility,O
10,Telehealth Provided in Patient’s Home,O
11,Office,O
12,Home,O
13,Assisted Living Facility,O
14,Group Home,O
15,Mobile Unit,O
16,Temporary Lodging,O
17,Walk-in Retail Health Clinic,O
18,Place of Employment-Worksite,O
19,Off Campus-Outpatient Hospital,O
20,Urgent Care Facility,O
25,Birthing Center,O
27,Outreach Site/ Street,O
32,Nursing Facility,O
33,Custodial Care Facility,O
49,Independent Clinic,O
50,Federally Qualified Health Center,O
54,Intermediate Care Facility/Mentally Retarded,O
55,Residential Substance Abuse Treatment Facility,O
57,Non-residential Substance Abuse Treatment Facility,O
58,Non-residential Opioid Treatment Facility,O
60,Mass Immunization Center,O
62,Comprehensive Outpatient Rehabilitation Facility,O
65,End-Stage Renal Disease Treatment Facility,O
71,Public Health Clinic,O
72,Rural Health Clinic,O
81,Independent Laboratory,O
99,Other Place of Service,O
21,Inpatient Hospital,F
22,Outpatient Hospital,F
23,Emergency Room – Hospital,F
24,Ambulatory Surgical Center,F
26,Military Treatment Facility,F
31,Skilled Nursing Facility,F
34,Hospice,F
41,Ambulance - Land,F
42,Ambulance – Air or Water,F
51,Inpatient Psychiatric Facility,F
52,Psychiatric Facility-Partial Hospitalization,F
53,Community Mental Health Center,F
56,Psychiatric Residential Treatment Center,F
61,Comprehensive Inpatient Rehabilitation Facility,F
