"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
National,"",National,"94010",Test to measure expiratory airflow and volume,N,F,6283,161492,198144,198132,53.5822,8.036155,6.1114187,6.07407
National,"",National,"94010",Test to measure expiratory airflow and volume,N,O,19712,471731,645906,641960,94.597046,25.595327,19.169346,18.85403
National,"",National,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,7093,253312,262058,262051,75.13476,10.030053,7.6307845,7.603513
National,"",National,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,15694,459765,539696,537496,145.54863,36.876644,27.972023,27.311584
National,"",National,"94726",Test to determine lung volumes using sensors,N,F,6205,252456,264058,264049,64.28726,11.693624,8.916247,8.899821
National,"",National,"94726",Test to determine lung volumes using sensors,N,O,6075,328108,360117,358946,146.82686,49.86438,38.254745,37.977783
National,"",National,"94729",Test to examine how well the lungs exchange gases,N,F,7342,353807,378043,378034,51.154007,8.708854,6.652558,6.625846
National,"",National,"94729",Test to examine how well the lungs exchange gases,N,O,8623,533608,593434,591592,146.55437,52.204865,40.0098,39.41492
State,"01",Alabama,"94010",Test to measure expiratory airflow and volume,N,F,99,2928,3676,3676,30.43087,7.680256,5.704913,5.96852
State,"01",Alabama,"94010",Test to measure expiratory airflow and volume,N,O,448,8540,10208,10122,70.26203,22.782064,16.983664,19.176912
State,"01",Alabama,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,83,2154,2219,2219,66.667755,9.537066,7.2802253,7.661568
State,"01",Alabama,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,258,6519,8368,8361,114.27508,33.22234,25.160885,28.445078
State,"01",Alabama,"94726",Test to determine lung volumes using sensors,N,F,51,1558,1601,1601,51.189274,11.1217985,8.585416,9.041749
State,"01",Alabama,"94726",Test to determine lung volumes using sensors,N,O,94,4510,5311,5311,103.838455,45.61818,34.333626,39.26785
State,"01",Alabama,"94729",Test to examine how well the lungs exchange gases,N,F,110,4175,4621,4621,45.591644,8.305527,6.2585998,6.5560007
State,"01",Alabama,"94729",Test to examine how well the lungs exchange gases,N,O,225,11333,13128,13079,100.96107,48.11278,36.3865,41.592243
State,"02",Alaska,"94010",Test to measure expiratory airflow and volume,N,F,19,598,624,624,95.469955,10.957548,8.116875,5.915272
State,"02",Alaska,"94010",Test to measure expiratory airflow and volume,N,O,71,650,820,820,154.17899,29.746683,22.075243,19.248623
State,"02",Alaska,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,18,543,554,554,121.98376,13.791354,9.9380865,7.2017508
State,"02",Alaska,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,36,304,345,345,315.69565,41.475304,31.427391,27.434116
State,"02",Alaska,"94726",Test to determine lung volumes using sensors,N,F,17,978,1013,1013,80.50543,16.180582,11.716979,8.440593
State,"02",Alaska,"94726",Test to determine lung volumes using sensors,N,O,12,250,255,255,242.22745,55.726078,42.00553,38.840668
State,"02",Alaska,"94729",Test to examine how well the lungs exchange gases,N,F,18,1015,1061,1061,61.741753,11.944053,8.741103,6.33721
State,"02",Alaska,"94729",Test to examine how well the lungs exchange gases,N,O,12,299,312,312,258.3814,58.564552,44.93859,41.40529
State,"04",Arizona,"94010",Test to measure expiratory airflow and volume,N,F,69,1285,1519,1519,43.762917,7.938025,5.979506,6.009302
State,"04",Arizona,"94010",Test to measure expiratory airflow and volume,N,O,586,12875,18360,18360,64.4484,25.108717,18.93116,19.697922
State,"04",Arizona,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,86,2927,2996,2996,51.28103,9.904683,7.453264,7.523685
State,"04",Arizona,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,572,21878,24872,24801,108.51754,34.82629,26.324272,27.222994
State,"04",Arizona,"94726",Test to determine lung volumes using sensors,N,F,78,3110,3199,3199,53.79501,11.586433,8.690628,8.764242
State,"04",Arizona,"94726",Test to determine lung volumes using sensors,N,O,162,14963,15880,15877,120.692276,49.672535,37.85662,39.182667
State,"04",Arizona,"94729",Test to examine how well the lungs exchange gases,N,F,82,3568,3801,3801,55.574615,8.604394,6.4949303,6.552126
State,"04",Arizona,"94729",Test to examine how well the lungs exchange gases,N,O,206,18366,19593,19590,110.28484,50.088524,38.352734,39.728485
State,"05",Arkansas,"94010",Test to measure expiratory airflow and volume,N,F,54,2988,3250,3250,50.00883,7.536837,5.71088,6.07572
State,"05",Arkansas,"94010",Test to measure expiratory airflow and volume,N,O,197,5157,7045,7045,81.195496,22.656342,16.783419,19.554424
State,"05",Arkansas,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,50,3152,3240,3240,82.1787,9.515947,7.2422533,7.638639
State,"05",Arkansas,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,128,3325,3712,3708,105.63777,30.759195,22.868107,26.365496
State,"05",Arkansas,"94726",Test to determine lung volumes using sensors,N,F,47,4282,4447,4447,56.58796,11.115891,8.475727,8.935338
State,"05",Arkansas,"94726",Test to determine lung volumes using sensors,N,O,32,1985,2088,2088,109.31801,41.269146,30.795397,35.362003
State,"05",Arkansas,"94729",Test to examine how well the lungs exchange gases,N,F,52,4657,4843,4843,46.37145,8.217396,6.2949557,6.6698866
State,"05",Arkansas,"94729",Test to examine how well the lungs exchange gases,N,O,46,3998,4159,4158,104.83845,45.02011,33.95199,39.46783
State,"06",California,"94010",Test to measure expiratory airflow and volume,N,F,344,9564,13287,13285,46.62073,8.742979,6.7349324,6.1487026
State,"06",California,"94010",Test to measure expiratory airflow and volume,N,O,1366,34421,48531,48512,94.284164,29.348825,22.049822,19.433636
State,"06",California,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,422,16895,17545,17545,96.48838,10.652062,8.06696,7.563146
State,"06",California,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,1144,43205,51806,51614,138.67984,41.912758,31.810308,27.96893
State,"06",California,"94726",Test to determine lung volumes using sensors,N,F,380,17371,18149,18149,55.61183,12.469545,9.499744,8.877233
State,"06",California,"94726",Test to determine lung volumes using sensors,N,O,457,28445,32276,32257,140.90663,57.65795,44.253574,38.715263
State,"06",California,"94729",Test to examine how well the lungs exchange gases,N,F,427,23241,25089,25089,45.888702,9.266206,7.0752177,6.611219
State,"06",California,"94729",Test to examine how well the lungs exchange gases,N,O,641,40948,47262,47242,146.4459,61.14197,46.99397,40.788574
State,"08",Colorado,"94010",Test to measure expiratory airflow and volume,N,F,101,1779,1891,1891,43.258347,8.160185,6.2137756,6.080968
State,"08",Colorado,"94010",Test to measure expiratory airflow and volume,N,O,401,4973,6621,6621,80.345795,26.75279,19.822119,19.262522
State,"08",Colorado,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,138,4330,4479,4476,46.692497,10.070286,7.6978297,7.6435947
State,"08",Colorado,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,326,4324,4581,4581,117.46736,36.91011,28.122328,27.116676
State,"08",Colorado,"94726",Test to determine lung volumes using sensors,N,F,129,5073,5247,5244,90.727165,11.822762,9.030011,8.911155
State,"08",Colorado,"94726",Test to determine lung volumes using sensors,N,O,102,2625,2735,2734,123.95664,53.718975,41.216507,39.74884
State,"08",Colorado,"94729",Test to examine how well the lungs exchange gases,N,F,146,6622,7235,7232,89.7984,8.784093,6.724289,6.6279044
State,"08",Colorado,"94729",Test to examine how well the lungs exchange gases,N,O,159,4908,5255,5255,117.72538,54.887028,42.000477,40.26766
State,"09",Connecticut,"94010",Test to measure expiratory airflow and volume,N,F,97,1505,1631,1630,73.19236,8.3881855,6.407603,6.1029305
State,"09",Connecticut,"94010",Test to measure expiratory airflow and volume,N,O,271,6218,8778,8760,101.84284,26.609816,20.031105,18.396196
State,"09",Connecticut,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,F,101,2243,2329,2329,100.5784,10.520932,8.104028,7.6920137
State,"09",Connecticut,"94060",Test to measure expiratory airflow and volume changes before and after medication administration,N,O,201,5239,7933,7930,175.10841,38.1204,29.282782,26.971579
State,"09",Connecticut,"94726",Test to determine lung volumes using sensors,N,F,67,1503,1571,1570,108.0281,12.250853,9.585602,9.110159
