"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
National,"",National,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,134474,2464992,4704865,4703937,167.23631,62.1239,44.796158,44.887253
National,"",National,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,612530,19069444,66756833,66751756,179.9672,85.51108,59.64884,59.964535
National,"",National,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,158258,3500703,8122291,8121674,246.69843,92.08906,66.70302,67.09089
National,"",National,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,609466,21122940,92477055,92471321,263.55328,120.16261,84.208664,85.80398
State,"01",Alabama,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,1246,23596,47657,47657,139.54918,57.986145,41.75228,44.36352
State,"01",Alabama,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,8702,298815,908459,908439,132.137,79.32021,54.557415,60.274616
State,"01",Alabama,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,1637,48852,103101,103099,202.25049,87.75734,63.732597,67.6131
State,"01",Alabama,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,8879,352494,1507314,1507289,190.41653,112.28828,78.020935,86.38729
State,"02",Alaska,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,437,8366,19123,19123,220.97322,81.9086,59.934372,44.5367
State,"02",Alaska,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,1601,53887,139678,139669,248.5987,104.27355,71.87863,57.786705
State,"02",Alaska,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,409,9340,19647,19646,307.9497,120.27645,86.43965,64.60351
State,"02",Alaska,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,1560,57593,174915,174909,378.00345,149.1635,103.98062,83.04171
State,"04",Arizona,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,2347,31626,62740,62726,149.30225,59.985355,43.92016,45.434994
State,"04",Arizona,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,12862,507034,1584344,1584248,173.24727,82.5557,57.39169,59.43732
State,"04",Arizona,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,2972,41934,84769,84762,222.85976,89.81094,65.9334,67.29259
State,"04",Arizona,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,13292,568940,2520911,2520795,247.51146,117.68853,83.55925,86.79092
State,"05",Arkansas,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,1102,33673,58440,58437,134.45503,57.817257,41.7638,45.09458
State,"05",Arkansas,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,5263,241517,739374,739323,130.44147,75.71072,51.279507,58.84231
State,"05",Arkansas,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,1194,56538,120531,120526,196.32404,85.35754,61.833675,67.43848
State,"05",Arkansas,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,5176,273954,1048326,1048247,191.44516,104.816444,70.70239,83.71208
State,"06",California,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,8586,160362,302351,302329,239.31232,67.34163,49.293186,46.212
State,"06",California,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,52822,1830928,6737568,6736428,194.6296,93.91438,66.744514,62.112442
State,"06",California,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,10423,253306,599842,599819,358.72696,99.19203,72.595055,68.536766
State,"06",California,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,53194,2004307,8911283,8910736,302.76172,132.48518,94.9743,88.94289
State,"08",Colorado,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,1971,25566,40953,40952,207.97617,62.482044,45.260693,45.19524
State,"08",Colorado,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,11169,306677,811199,811137,189.92175,84.45233,57.60634,58.736507
State,"08",Colorado,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,2667,44457,85010,85003,291.28357,91.4068,66.40408,66.8675
State,"08",Colorado,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,11564,329485,1109158,1109080,272.2727,115.78293,79.7231,85.11887
State,"09",Connecticut,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,1564,21449,38774,38773,193.91905,65.53809,48.426006,45.78394
State,"09",Connecticut,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,8793,245450,798772,798722,181.14558,90.34293,63.993095,60.461205
State,"09",Connecticut,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,1891,31640,63667,63665,286.61044,97.200294,72.203606,68.39159
State,"09",Connecticut,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,8529,262324,972746,972693,266.6043,128.12117,91.32258,86.079254
State,"10",Delaware,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,619,13759,21821,21804,177.6927,62.804745,44.84799,44.418762
State,"10",Delaware,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,2056,131591,398638,398617,154.45238,84.9222,59.466133,59.964138
State,"10",Delaware,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,656,19676,36781,36751,249.76651,92.55166,67.594894,67.06152
State,"10",Delaware,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,2023,142937,522083,522056,229.87178,120.41367,84.73714,85.976555
State,"11",District of Columbia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,478,8570,14452,14451,156.6613,68.95669,50.32316,46.05064
State,"11",District of Columbia,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,1870,69130,143614,143590,179.89082,97.03512,68.70002,62.179047
State,"11",District of Columbia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,599,14285,26117,26116,255.22563,103.032684,75.573456,68.96832
State,"11",District of Columbia,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,O,1862,90325,203540,203528,261.29123,137.39017,97.99569,88.79099
State,"12",Florida,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,F,5393,87424,166121,166107,176.3334,64.45963,47.3316,46.136353
State,"12",Florida,"99213","Established patient office or other outpatient visit, 20-29 minutes",N,O,41953,1627724,5856193,5856026,184.49268,86.18632,61.160633,61.38356
State,"12",Florida,"99214","Established patient office or other outpatient visit, 30-39 minutes",N,F,6825,140803,309639,309603,252.75497,94.52324,69.81467,68.48543
