"Rndrng_Prvdr_Geo_Lvl","Rndrng_Prvdr_Geo_Cd","Rndrng_Prvdr_Geo_Desc","HCPCS_Cd","HCPCS_Desc","HCPCS_Drug_Ind","Place_Of_Srvc","Tot_Rndrng_Prvdrs","Tot_Benes","Tot_Srvcs","Tot_Bene_Day_Srvcs","Avg_Sbmtd_Chrg","Avg_Mdcr_Alowd_Amt","Avg_Mdcr_Pymt_Amt","Avg_Mdcr_Stdzd_Amt"
National,"",National,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,614,13566,13796,13783,243.25462,40.389862,30.311865,29.806862
National,"",National,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,2987,121903,140191,139468,451.0756,143.13385,107.56175,98.02704
National,"",National,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,1526,36730,37275,37275,230.58768,42.917465,31.987534,32.12867
National,"",National,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,2980,51075,56999,56358,382.90332,64.30186,47.954697,47.65258
National,"",National,"95810",Sleep study in sleep lab (6 years or older),N,F,2926,74249,75424,75410,519.11475,115.470245,87.576035,87.82828
National,"",National,"95810",Sleep study in sleep lab (6 years or older),N,O,3412,98418,111350,110491,1616.8357,428.8337,334.39136,331.34943
National,"",National,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,2907,79441,83686,83669,546.1599,119.18549,90.96145,91.68879
National,"",National,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,3422,100661,118788,117772,1720.8545,444.4811,347.53873,346.80154
National,"",National,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,F,7,23,23,23,166.30435,42.087826,30.59826,30.341305
National,"",National,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,298,5248,5894,5866,459.25516,132.74178,101.676834,101.32849
National,"",National,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,250,3224,3254,3254,346.8601,44.7222,33.26004,32.94488
National,"",National,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,2568,64349,73848,73302,477.03387,71.47209,53.010406,52.972546
National,"",National,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,F,29,349,351,351,327.72372,52.607864,39.054813,38.460796
National,"",National,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,337,12569,13557,13472,384.91104,149.48955,116.34011,116.21284
State,"01",Alabama,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,5,22,22,22,427.63635,130.205,93.20091,106.167274
State,"01",Alabama,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,31,325,331,331,205.75226,41.411842,30.91145,32.22314
State,"01",Alabama,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,37,722,749,749,412.13217,65.46773,49.019318,53.28936
State,"01",Alabama,"95810",Sleep study in sleep lab (6 years or older),N,F,75,2715,2765,2765,435.56213,110.61796,84.21755,88.472565
State,"01",Alabama,"95810",Sleep study in sleep lab (6 years or older),N,O,31,1034,1094,1072,1066.4874,423.2323,330.8902,373.18228
State,"01",Alabama,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,74,3020,3190,3190,437.09778,114.48904,87.91603,92.603226
State,"01",Alabama,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,35,1249,1344,1323,1155.1925,500.00577,391.27353,437.75528
State,"01",Alabama,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,2,15,22,22,321.0909,143.67319,106.06909,106.06909
State,"01",Alabama,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,13,600,656,656,402.6448,83.3302,59.65256,59.52314
State,"02",Alaska,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,25,347,393,393,1016.1018,146.31613,112.54481,94.44453
State,"02",Alaska,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,5,147,148,148,421.04053,58.61311,46.798447,34.38588
State,"02",Alaska,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,15,68,74,74,626.67975,64.629326,43.637974,34.680542
State,"02",Alaska,"95810",Sleep study in sleep lab (6 years or older),N,F,6,80,81,81,1077.2716,160.67567,126.43691,90.72531
State,"02",Alaska,"95810",Sleep study in sleep lab (6 years or older),N,O,16,623,642,642,4035.56,615.5356,483.73926,426.23212
State,"02",Alaska,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,5,132,153,153,1155.4509,165.61798,125.34353,90.48353
State,"02",Alaska,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,15,449,494,494,4369.4346,615.4977,482.54633,424.4808
State,"02",Alaska,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,6,213,319,315,1099.8081,70.45148,50.75116,50.925423
State,"04",Arizona,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,9,68,68,68,405.69852,39.241913,25.862795,26.306177
State,"04",Arizona,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,113,2707,3296,3296,371.69284,128.86363,99.75982,104.30449
State,"04",Arizona,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,F,14,140,140,140,208.03929,42.15236,31.91957,32.70814
State,"04",Arizona,"95806","Sleep study including heart rate, breathing, airflow, and effort",N,O,41,1083,1270,1270,275.37708,51.223087,38.93156,39.589046
State,"04",Arizona,"95810",Sleep study in sleep lab (6 years or older),N,F,33,1150,1160,1160,643.643,114.721664,87.75172,88.52064
State,"04",Arizona,"95810",Sleep study in sleep lab (6 years or older),N,O,70,2968,3053,3053,2084.757,539.58594,421.4451,438.2419
State,"04",Arizona,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,F,35,1191,1307,1307,780.94495,118.72308,91.82453,92.896545
State,"04",Arizona,"95811",Sleep study in sleep lab with continuous airway pressure (6 years or older),N,O,72,3711,4048,4048,2037.0962,552.66064,431.31323,449.44742
State,"04",Arizona,G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation",N,O,18,137,233,233,433.33734,154.98944,116.66047,117.11884
State,"04",Arizona,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,F,4,72,83,83,212.79518,44.127712,31.374819,31.347712
State,"04",Arizona,G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation",N,O,207,2449,3275,3274,287.35718,81.50272,61.108513,60.659203
State,"04",Arizona,G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels",N,O,20,345,364,364,862.4176,85.53137,65.78429,65.3175
State,"05",Arkansas,"95800","Sleep study including heart rate, breathing, and sleep time",N,F,4,189,190,190,134.39473,37.460052,29.067316,30.876104
State,"05",Arkansas,"95800","Sleep study including heart rate, breathing, and sleep time",N,O,13,68,71,71,226.07042,79.983665,63.839294,76.0145
