Medicare Administrative Contractor (MAC),State,Locality Number,Locality Name,2026 PW GPCI (without 1.0 Floor),2026 PW GPCI (with 1.0 Floor),2026 PE GPCI,2026 MP GPCI
10112,AL,0,ALABAMA,0.988,1.0,0.875,0.566
02102,AK,1,ALASKA*,1.5,1.5,1.065,0.551
03102,AZ,0,ARIZONA,0.991,1.0,0.969,0.856
07102,AR,13,ARKANSAS,0.974,1.0,0.859,0.515
01112,CA,54,BAKERSFIELD,1.019,1.019,1.096,0.609
01112,CA,55,CHICO,1.017,1.017,1.096,0.536
01182,CA,71,EL CENTRO,1.017,1.017,1.096,0.541
01112,CA,56,FRESNO,1.017,1.017,1.096,0.536
01112,CA,57,HANFORD-CORCORAN,1.017,1.017,1.096,0.536
01182,CA,18,LOS ANGELES-LONG BEACH-ANAHEIM (LOS ANGELES/ORANGE CNTY),1.041,1.041,1.183,0.664
01112,CA,58,MADERA,1.017,1.017,1.096,0.536
01112,CA,59,MERCED,1.017,1.017,1.096,0.536
01112,CA,60,MODESTO,1.017,1.017,1.096,0.536
01112,CA,51,NAPA,1.063,1.063,1.318,0.508
01182,CA,17,OXNARD-THOUSAND OAKS-VENTURA,1.028,1.028,1.182,0.623
01112,CA,61,REDDING,1.017,1.017,1.096,0.536
01112,CA,62,RIVERSIDE-SAN BERNARDINO-ONTARIO,1.018,1.018,1.096,0.853
01112,CA,63,SACRAMENTO-ROSEVILLE-FOLSOM,1.036,1.036,1.163,0.536
01112,CA,64,SALINAS,1.031,1.031,1.159,0.536
01182,CA,72,SAN DIEGO-CHULA VISTA-CARLSBAD,1.03,1.03,1.196,0.542
01112,CA,5,SAN FRANCISCO-OAKLAND-BERKELEY (SAN FRANCISCO/SAN MATEO/ALAMEDA/CONTRA COSTA CNTY),1.095,1.095,1.41,0.425
01112,CA,52,SAN FRANCISCO-OAKLAND-BERKELEY (MARIN CNTY),1.095,1.095,1.41,0.459
01112,CA,65,SAN JOSE-SUNNYVALE-SANTA CLARA (SAN BENITO CNTY),1.11,1.11,1.442,0.536
01182,CA,73,SAN LUIS OBISPO-PASO ROBLES,1.017,1.017,1.139,0.536
01112,CA,9,SAN JOSE-SUNNYVALE-SANTA CLARA (SANTA CLARA CNTY),1.11,1.11,1.442,0.397
01112,CA,66,SANTA CRUZ-WATSONVILLE,1.021,1.021,1.215,0.536
01182,CA,74,SANTA MARIA-SANTA BARBARA,1.028,1.028,1.166,0.536
01112,CA,67,SANTA ROSA-PETALUMA,1.03,1.03,1.228,0.536
01112,CA,68,STOCKTON,1.017,1.017,1.096,0.536
01112,CA,53,VALLEJO,1.063,1.063,1.318,0.459
01112,CA,69,VISALIA,1.017,1.017,1.096,0.536
01112,CA,70,YUBA CITY,1.017,1.017,1.096,0.536
01112,CA,75,REST OF CALIFORNIA,1.017,1.017,1.096,0.536
04112,CO,1,COLORADO,1.012,1.012,1.064,0.781
13102,CT,0,CONNECTICUT,1.02,1.02,1.077,1.21
12202,DC,1,DC + MD/VA SUBURBS,1.054,1.054,1.178,1.113
12102,DE,1,DELAWARE,1.005,1.005,0.988,0.899
09102,FL,3,FORT LAUDERDALE,0.993,1.0,1.013,1.808
09102,FL,4,MIAMI,0.994,1.0,1.041,2.529
09102,FL,99,REST OF FLORIDA,0.989,1.0,0.956,1.503
10212,GA,1,ATLANTA,1.003,1.003,1.016,1.201
10212,GA,99,REST OF GEORGIA,0.986,1.0,0.892,1.192
01212,HI,1,"HAWAII, GUAM",0.998,1.0,1.137,0.579
02202,ID,0,IDAHO,0.98,1.0,0.92,0.473
06102,IL,16,CHICAGO,1.007,1.007,1.005,2.295
06102,IL,12,EAST ST. LOUIS,0.988,1.0,0.92,2.014
06102,IL,15,SUBURBAN CHICAGO,1.007,1.007,1.027,1.772
06102,IL,99,REST OF ILLINOIS,0.988,1.0,0.913,1.563
08102,IN,0,INDIANA,0.988,1.0,0.927,0.486
05102,IA,0,IOWA,0.984,1.0,0.915,0.397
05202,KS,0,KANSAS,0.984,1.0,0.904,0.504
15102,KY,0,KENTUCKY,0.981,1.0,0.889,0.915
07202,LA,1,NEW ORLEANS,0.989,1.0,0.941,1.136
07202,LA,99,REST OF LOUISIANA,0.985,1.0,0.885,0.958
14112,ME,3,SOUTHERN MAINE,0.99,1.0,0.991,0.631
14112,ME,99,REST OF MAINE,0.984,1.0,0.92,0.622
12302,MD,1,BALTIMORE/SURR. CNTYS,1.016,1.016,1.073,1.237
12302,MD,99,REST OF MARYLAND,1.01,1.01,1.012,0.918
14212,MA,1,METROPOLITAN BOSTON,1.041,1.041,1.194,0.89
14212,MA,99,REST OF MASSACHUSETTS,1.016,1.016,1.053,0.797
08202,MI,1,DETROIT,0.997,1.0,0.965,1.686
08202,MI,99,REST OF MICHIGAN,0.986,1.0,0.913,1.129
06202,MN,0,MINNESOTA,1.0,1.0,1.029,0.296
