hcpcs_code,seq_num,record_id,long_description,short_description
A1,00100,7,Dressing for one wound,Dressing for one wound
A2,00100,7,Dressing for two wounds,Dressing for two wounds
A3,00100,7,Dressing for three wounds,Dressing for three wounds
A4,00100,7,Dressing for four wounds,Dressing for four wounds
A5,00100,7,Dressing for five wounds,Dressing for five wounds
A6,00100,7,Dressing for six wounds,Dressing for six wounds
A7,00100,7,Dressing for seven wounds,Dressing for seven wounds
A8,00100,7,Dressing for eight wounds,Dressing for eight wounds
A9,00100,7,Dressing for nine or more wounds,Dressing for 9 or more wound
AA,00100,7,Anesthesia services performed personally by anesthesiologist,Anesthesia perf by anesgst
AB,00100,7,Audiology service furnished personally by an audiologist without a,Aud svs w/o order evry 12mo
AD,00100,7,Medical supervision by a physician: more than four concurrent anesthesia,"Md supervision, >4 anes proc"
AE,00100,7,Registered dietician,Registered dietician
AF,00100,7,Specialty physician,Specialty physician
AG,00100,7,Primary physician,Primary physician
AH,00100,7,Clinical psychologist,Clinical psychologist
AI,00100,7,Principal physician of record,Principal physician of rec
AJ,00100,7,Clinical social worker,Clinical social worker
AK,00100,7,Non participating physician,Non participating physician
AM,00100,7,"Physician, team member service","Physician, team member svc"
AO,00100,7,Alternate payment method declined by provider of service,Prov declined alt pmt method
AP,00100,7,Determination of refractive state was not performed in the course of diagnostic,No dtmn of refractive state
AQ,00100,7,Physician providing a service in an unlisted health professional shortage area,Physician service hpsa area
AR,00100,7,Physician provider services in a physician scarcity area,Physician scarcity area
AS,00100,7,"Physician assistant, nurse practitioner, or clinical nurse specialist services",Assistant at surgery service
AT,00100,7,"Acute treatment (this modifier should be used when reporting service 98940,",Acute treatment
AU,00100,7,"Item furnished in conjunction with a urological, ostomy, or tracheostomy supply","Uro, ostomy or trach item"
AV,00100,7,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",Item w prosthetic/orthotic
AW,00100,7,Item furnished in conjunction with a surgical dressing,Item w a surgical dressing
AX,00100,7,Item furnished in conjunction with dialysis services,Item w dialysis services
AY,00100,7,Item or service furnished to an esrd patient that is not for the treatment of,Item/service not for esrd tx
AZ,00100,7,Physician providing a service in a dental health professional shortage area for,Physician serv in dent hpsa
BA,00100,7,Item furnished in conjunction with parenteral enteral nutrition (pen) services,Item w pen services
BL,00100,7,Special acquisition of blood and blood products,Spec acquisition blood prods
BO,00100,7,"Orally administered nutrition, not by feeding tube",Nutrition oral admin no tube
BP,00100,7,The beneficiary has been informed of the purchase and rental options and has,Bene electd to purchase item
BR,00100,7,The beneficiary has been informed of the purchase and rental options and has,Bene elected to rent item
BU,00100,7,The beneficiary has been informed of the purchase and rental options and after,Bene undecided on purch/rent
CA,00100,7,Procedure payable only in the inpatient setting when performed emergently on an,Procedure payable inpatient
CB,00100,7,Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay
CC,00100,7,Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change
CD,00100,7,Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md
CE,00100,7,Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb
CF,00100,7,Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate
CG,00100,7,Policy criteria applied,Policy criteria applied
CH,00100,7,"0 percent impaired, limited or restricted","0 percent impaired, ltd, res"
CI,00100,7,"At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired
CJ,00100,7,"At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired
CK,00100,7,"At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired
CL,00100,7,"At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired
CM,00100,7,"At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired
CN,00100,7,"100 percent impaired, limited or restricted","100 percent impaired, ltd"
CO,00100,7,Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota
CP,00100,7,Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service
CQ,00100,7,Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta
CR,00100,7,Catastrophe/disaster related,Catastrophe/disaster related
CS,00100,7,Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19
CT,00100,7,Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa
DA,00100,7,Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent"
E1,00100,7,"Upper left, eyelid",Upper left eyelid
E2,00100,7,"Lower left, eyelid",Lower left eyelid
E3,00100,7,"Upper right, eyelid",Upper right eyelid
E4,00100,7,"Lower right, eyelid",Lower right eyelid
EA,00100,7,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced"
EB,00100,7,Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced"
EC,00100,7,Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio"
ED,00100,7,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle
EE,00100,7,Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle
EJ,00100,7,"Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim
EM,00100,7,Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd)
EP,00100,7,Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc
ER,00100,7,"Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service
ET,00100,7,Emergency services,Emergency services
EX,00100,7,Expatriate beneficiary,Expatriate beneficiary
EY,00100,7,No physician or other licensed health care provider order for this item or,No md order for item/service
